lambda	x
7.028000000e-01	6.378858697e-01
7.028400000e-01	6.379047110e-01
7.028800000e-01	6.379235502e-01
7.029200000e-01	6.379423871e-01
7.029600000e-01	6.379612218e-01
7.030000000e-01	6.379800543e-01
7.030400000e-01	6.379988847e-01
7.030800000e-01	6.380177128e-01
7.031200000e-01	6.380365388e-01
7.031600000e-01	6.380553626e-01
7.032000000e-01	6.380741842e-01
7.032400000e-01	6.380930036e-01
7.032800000e-01	6.381118208e-01
7.033200000e-01	6.381306358e-01
7.033600000e-01	6.381494486e-01
7.034000000e-01	6.381682593e-01
7.034400000e-01	6.381870678e-01
7.034800000e-01	6.382058740e-01
7.035200000e-01	6.382246782e-01
7.035600000e-01	6.382434801e-01
7.036000000e-01	6.382622798e-01
7.036400000e-01	6.382810773e-01
7.036800000e-01	6.382998727e-01
7.037200000e-01	6.383186659e-01
7.037600000e-01	6.383374569e-01
7.038000000e-01	6.383562457e-01
7.038400000e-01	6.383750324e-01
7.038800000e-01	6.383938168e-01
7.039200000e-01	6.384125991e-01
7.039600000e-01	6.384313792e-01
7.040000000e-01	6.384501571e-01
7.040400000e-01	6.384689328e-01
7.040800000e-01	6.384877064e-01
7.041200000e-01	6.385064778e-01
7.041600000e-01	6.385252470e-01
7.042000000e-01	6.385440140e-01
7.042400000e-01	6.385627789e-01
7.042800000e-01	6.385815415e-01
7.043200000e-01	6.386003020e-01
7.043600000e-01	6.386190604e-01
7.044000000e-01	6.386378165e-01
7.044400000e-01	6.386565705e-01
7.044800000e-01	6.386753223e-01
7.045200000e-01	6.386940719e-01
7.045600000e-01	6.387128193e-01
7.046000000e-01	6.387315646e-01
7.046400000e-01	6.387503077e-01
7.046800000e-01	6.387690486e-01
7.047200000e-01	6.387877874e-01
7.047600000e-01	6.388065240e-01
7.048000000e-01	6.388252584e-01
7.048400000e-01	6.388439906e-01
7.048800000e-01	6.388627207e-01
7.049200000e-01	6.388814486e-01
7.049600000e-01	6.389001743e-01
7.050000000e-01	6.389188979e-01
7.050400000e-01	6.389376193e-01
7.050800000e-01	6.389563385e-01
7.051200000e-01	6.389750555e-01
7.051600000e-01	6.389937704e-01
7.052000000e-01	6.390124832e-01
7.052400000e-01	6.390311937e-01
7.052800000e-01	6.390499021e-01
7.053200000e-01	6.390686083e-01
7.053600000e-01	6.390873124e-01
7.054000000e-01	6.391060143e-01
7.054400000e-01	6.391247140e-01
7.054800000e-01	6.391434116e-01
7.055200000e-01	6.391621069e-01
7.055600000e-01	6.391808002e-01
7.056000000e-01	6.391994913e-01
7.056400000e-01	6.392181802e-01
7.056800000e-01	6.392368669e-01
7.057200000e-01	6.392555515e-01
7.057600000e-01	6.392742339e-01
7.058000000e-01	6.392929142e-01
7.058400000e-01	6.393115923e-01
7.058800000e-01	6.393302682e-01
7.059200000e-01	6.393489420e-01
7.059600000e-01	6.393676136e-01
7.060000000e-01	6.393862831e-01
7.060400000e-01	6.394049504e-01
7.060800000e-01	6.394236155e-01
7.061200000e-01	6.394422785e-01
7.061600000e-01	6.394609393e-01
7.062000000e-01	6.394795980e-01
7.062400000e-01	6.394982545e-01
7.062800000e-01	6.395169089e-01
7.063200000e-01	6.395355611e-01
7.063600000e-01	6.395542112e-01
7.064000000e-01	6.395728590e-01
7.064400000e-01	6.395915048e-01
7.064800000e-01	6.396101484e-01
7.065200000e-01	6.396287898e-01
7.065600000e-01	6.396474291e-01
7.066000000e-01	6.396660662e-01
7.066400000e-01	6.396847012e-01
7.066800000e-01	6.397033340e-01
7.067200000e-01	6.397219647e-01
7.067600000e-01	6.397405932e-01
7.068000000e-01	6.397592196e-01
7.068400000e-01	6.397778438e-01
7.068800000e-01	6.397964658e-01
7.069200000e-01	6.398150858e-01
7.069600000e-01	6.398337035e-01
7.070000000e-01	6.398523192e-01
7.070400000e-01	6.398709326e-01
7.070800000e-01	6.398895439e-01
7.071200000e-01	6.399081531e-01
7.071600000e-01	6.399267602e-01
7.072000000e-01	6.399453650e-01
7.072400000e-01	6.399639678e-01
7.072800000e-01	6.399825684e-01
7.073200000e-01	6.400011668e-01
7.073600000e-01	6.400197631e-01
7.074000000e-01	6.400383573e-01
7.074400000e-01	6.400569493e-01
7.074800000e-01	6.400755391e-01
7.075200000e-01	6.400941269e-01
7.075600000e-01	6.401127124e-01
7.076000000e-01	6.401312959e-01
7.076400000e-01	6.401498772e-01
7.076800000e-01	6.401684563e-01
7.077200000e-01	6.401870333e-01
7.077600000e-01	6.402056082e-01
7.078000000e-01	6.402241809e-01
7.078400000e-01	6.402427515e-01
7.078800000e-01	6.402613200e-01
7.079200000e-01	6.402798863e-01
7.079600000e-01	6.402984504e-01
7.080000000e-01	6.403170125e-01
7.080400000e-01	6.403355724e-01
7.080800000e-01	6.403541301e-01
7.081200000e-01	6.403726857e-01
7.081600000e-01	6.403912392e-01
7.082000000e-01	6.404097906e-01
7.082400000e-01	6.404283398e-01
7.082800000e-01	6.404468868e-01
7.083200000e-01	6.404654318e-01
7.083600000e-01	6.404839746e-01
7.084000000e-01	6.405025152e-01
7.084400000e-01	6.405210538e-01
7.084800000e-01	6.405395902e-01
7.085200000e-01	6.405581244e-01
7.085600000e-01	6.405766566e-01
7.086000000e-01	6.405951866e-01
7.086400000e-01	6.406137144e-01
7.086800000e-01	6.406322402e-01
7.087200000e-01	6.406507638e-01
7.087600000e-01	6.406692852e-01
7.088000000e-01	6.406878046e-01
7.088400000e-01	6.407063218e-01
7.088800000e-01	6.407248369e-01
7.089200000e-01	6.407433498e-01
7.089600000e-01	6.407618606e-01
7.090000000e-01	6.407803693e-01
7.090400000e-01	6.407988759e-01
7.090800000e-01	6.408173804e-01
7.091200000e-01	6.408358827e-01
7.091600000e-01	6.408543828e-01
7.092000000e-01	6.408728809e-01
7.092400000e-01	6.408913768e-01
7.092800000e-01	6.409098706e-01
7.093200000e-01	6.409283623e-01
7.093600000e-01	6.409468519e-01
7.094000000e-01	6.409653393e-01
7.094400000e-01	6.409838246e-01
7.094800000e-01	6.410023078e-01
7.095200000e-01	6.410207889e-01
7.095600000e-01	6.410392678e-01
7.096000000e-01	6.410577446e-01
7.096400000e-01	6.410762193e-01
7.096800000e-01	6.410946919e-01
7.097200000e-01	6.411131623e-01
7.097600000e-01	6.411316306e-01
7.098000000e-01	6.411500968e-01
7.098400000e-01	6.411685609e-01
7.098800000e-01	6.411870229e-01
7.099200000e-01	6.412054827e-01
7.099600000e-01	6.412239405e-01
7.100000000e-01	6.412423961e-01
7.100400000e-01	6.412608496e-01
7.100800000e-01	6.412793010e-01
7.101200000e-01	6.412977502e-01
7.101600000e-01	6.413161973e-01
7.102000000e-01	6.413346424e-01
7.102400000e-01	6.413530853e-01
7.102800000e-01	6.413715261e-01
7.103200000e-01	6.413899647e-01
7.103600000e-01	6.414084013e-01
7.104000000e-01	6.414268357e-01
7.104400000e-01	6.414452681e-01
7.104800000e-01	6.414636983e-01
7.105200000e-01	6.414821264e-01
7.105600000e-01	6.415005524e-01
7.106000000e-01	6.415189763e-01
7.106400000e-01	6.415373980e-01
7.106800000e-01	6.415558177e-01
7.107200000e-01	6.415742352e-01
7.107600000e-01	6.415926507e-01
7.108000000e-01	6.416110640e-01
7.108400000e-01	6.416294752e-01
7.108800000e-01	6.416478843e-01
7.109200000e-01	6.416662913e-01
7.109600000e-01	6.416846962e-01
7.110000000e-01	6.417030989e-01
7.110400000e-01	6.417214996e-01
7.110800000e-01	6.417398982e-01
7.111200000e-01	6.417582946e-01
7.111600000e-01	6.417766890e-01
7.112000000e-01	6.417950812e-01
7.112400000e-01	6.418134713e-01
7.112800000e-01	6.418318593e-01
7.113200000e-01	6.418502453e-01
7.113600000e-01	6.418686291e-01
7.114000000e-01	6.418870108e-01
7.114400000e-01	6.419053904e-01
7.114800000e-01	6.419237679e-01
7.115200000e-01	6.419421433e-01
7.115600000e-01	6.419605166e-01
7.116000000e-01	6.419788878e-01
7.116400000e-01	6.419972569e-01
7.116800000e-01	6.420156238e-01
7.117200000e-01	6.420339887e-01
7.117600000e-01	6.420523515e-01
7.118000000e-01	6.420707122e-01
7.118400000e-01	6.420890708e-01
7.118800000e-01	6.421074273e-01
7.119200000e-01	6.421257816e-01
7.119600000e-01	6.421441339e-01
7.120000000e-01	6.421624841e-01
7.120400000e-01	6.421808322e-01
7.120800000e-01	6.421991782e-01
7.121200000e-01	6.422175221e-01
7.121600000e-01	6.422358639e-01
7.122000000e-01	6.422542036e-01
7.122400000e-01	6.422725412e-01
7.122800000e-01	6.422908767e-01
7.123200000e-01	6.423092101e-01
7.123600000e-01	6.423275414e-01
7.124000000e-01	6.423458706e-01
7.124400000e-01	6.423641977e-01
7.124800000e-01	6.423825228e-01
7.125200000e-01	6.424008457e-01
7.125600000e-01	6.424191665e-01
7.126000000e-01	6.424374853e-01
7.126400000e-01	6.424558019e-01
7.126800000e-01	6.424741165e-01
7.127200000e-01	6.424924290e-01
7.127600000e-01	6.425107394e-01
7.128000000e-01	6.425290477e-01
7.128400000e-01	6.425473539e-01
7.128800000e-01	6.425656580e-01
7.129200000e-01	6.425839600e-01
7.129600000e-01	6.426022599e-01
7.130000000e-01	6.426205578e-01
7.130400000e-01	6.426388535e-01
7.130800000e-01	6.426571472e-01
7.131200000e-01	6.426754387e-01
7.131600000e-01	6.426937282e-01
7.132000000e-01	6.427120156e-01
7.132400000e-01	6.427303010e-01
7.132800000e-01	6.427485842e-01
7.133200000e-01	6.427668653e-01
7.133600000e-01	6.427851444e-01
7.134000000e-01	6.428034214e-01
7.134400000e-01	6.428216962e-01
7.134800000e-01	6.428399691e-01
7.135200000e-01	6.428582398e-01
7.135600000e-01	6.428765084e-01
7.136000000e-01	6.428947750e-01
7.136400000e-01	6.429130394e-01
7.136800000e-01	6.429313018e-01
7.137200000e-01	6.429495621e-01
7.137600000e-01	6.429678204e-01
7.138000000e-01	6.429860765e-01
7.138400000e-01	6.430043306e-01
7.138800000e-01	6.430225825e-01
7.139200000e-01	6.430408324e-01
7.139600000e-01	6.430590803e-01
7.140000000e-01	6.430773260e-01
7.140400000e-01	6.430955697e-01
7.140800000e-01	6.431138113e-01
7.141200000e-01	6.431320508e-01
7.141600000e-01	6.431502882e-01
7.142000000e-01	6.431685235e-01
7.142400000e-01	6.431867568e-01
7.142800000e-01	6.432049880e-01
7.143200000e-01	6.432232171e-01
7.143600000e-01	6.432414442e-01
7.144000000e-01	6.432596692e-01
7.144400000e-01	6.432778921e-01
7.144800000e-01	6.432961129e-01
7.145200000e-01	6.433143316e-01
7.145600000e-01	6.433325483e-01
7.146000000e-01	6.433507629e-01
7.146400000e-01	6.433689754e-01
7.146800000e-01	6.433871859e-01
7.147200000e-01	6.434053943e-01
7.147600000e-01	6.434236006e-01
7.148000000e-01	6.434418048e-01
7.148400000e-01	6.434600070e-01
7.148800000e-01	6.434782071e-01
7.149200000e-01	6.434964051e-01
7.149600000e-01	6.435146011e-01
7.150000000e-01	6.435327949e-01
7.150400000e-01	6.435509868e-01
7.150800000e-01	6.435691765e-01
7.151200000e-01	6.435873642e-01
7.151600000e-01	6.436055498e-01
7.152000000e-01	6.436237333e-01
7.152400000e-01	6.436419148e-01
7.152800000e-01	6.436600942e-01
7.153200000e-01	6.436782716e-01
7.153600000e-01	6.436964468e-01
7.154000000e-01	6.437146201e-01
7.154400000e-01	6.437327912e-01
7.154800000e-01	6.437509603e-01
7.155200000e-01	6.437691273e-01
7.155600000e-01	6.437872923e-01
7.156000000e-01	6.438054551e-01
7.156400000e-01	6.438236160e-01
7.156800000e-01	6.438417747e-01
7.157200000e-01	6.438599314e-01
7.157600000e-01	6.438780861e-01
7.158000000e-01	6.438962386e-01
7.158400000e-01	6.439143892e-01
7.158800000e-01	6.439325376e-01
7.159200000e-01	6.439506840e-01
7.159600000e-01	6.439688283e-01
7.160000000e-01	6.439869706e-01
7.160400000e-01	6.440051108e-01
7.160800000e-01	6.440232490e-01
7.161200000e-01	6.440413851e-01
7.161600000e-01	6.440595191e-01
7.162000000e-01	6.440776511e-01
7.162400000e-01	6.440957810e-01
7.162800000e-01	6.441139089e-01
7.163200000e-01	6.441320347e-01
7.163600000e-01	6.441501584e-01
7.164000000e-01	6.441682801e-01
7.164400000e-01	6.441863997e-01
7.164800000e-01	6.442045173e-01
7.165200000e-01	6.442226328e-01
7.165600000e-01	6.442407463e-01
7.166000000e-01	6.442588577e-01
7.166400000e-01	6.442769671e-01
7.166800000e-01	6.442950744e-01
7.167200000e-01	6.443131797e-01
7.167600000e-01	6.443312829e-01
7.168000000e-01	6.443493840e-01
7.168400000e-01	6.443674831e-01
7.168800000e-01	6.443855802e-01
7.169200000e-01	6.444036752e-01
7.169600000e-01	6.444217681e-01
7.170000000e-01	6.444398590e-01
7.170400000e-01	6.444579478e-01
7.170800000e-01	6.444760346e-01
7.171200000e-01	6.444941194e-01
7.171600000e-01	6.445122021e-01
7.172000000e-01	6.445302827e-01
7.172400000e-01	6.445483613e-01
7.172800000e-01	6.445664379e-01
7.173200000e-01	6.445845124e-01
7.173600000e-01	6.446025848e-01
7.174000000e-01	6.446206552e-01
7.174400000e-01	6.446387236e-01
7.174800000e-01	6.446567899e-01
7.175200000e-01	6.446748542e-01
7.175600000e-01	6.446929164e-01
7.176000000e-01	6.447109766e-01
7.176400000e-01	6.447290348e-01
7.176800000e-01	6.447470909e-01
7.177200000e-01	6.447651449e-01
7.177600000e-01	6.447831969e-01
7.178000000e-01	6.448012469e-01
7.178400000e-01	6.448192948e-01
7.178800000e-01	6.448373407e-01
7.179200000e-01	6.448553845e-01
7.179600000e-01	6.448734263e-01
7.180000000e-01	6.448914661e-01
7.180400000e-01	6.449095038e-01
7.180800000e-01	6.449275395e-01
7.181200000e-01	6.449455731e-01
7.181600000e-01	6.449636047e-01
7.182000000e-01	6.449816343e-01
7.182400000e-01	6.449996618e-01
7.182800000e-01	6.450176873e-01
7.183200000e-01	6.450357107e-01
7.183600000e-01	6.450537321e-01
7.184000000e-01	6.450717515e-01
7.184400000e-01	6.450897688e-01
7.184800000e-01	6.451077841e-01
7.185200000e-01	6.451257973e-01
7.185600000e-01	6.451438086e-01
7.186000000e-01	6.451618178e-01
7.186400000e-01	6.451798249e-01
7.186800000e-01	6.451978300e-01
7.187200000e-01	6.452158331e-01
7.187600000e-01	6.452338342e-01
7.188000000e-01	6.452518332e-01
7.188400000e-01	6.452698302e-01
7.188800000e-01	6.452878251e-01
7.189200000e-01	6.453058180e-01
7.189600000e-01	6.453238089e-01
7.190000000e-01	6.453417978e-01
7.190400000e-01	6.453597846e-01
7.190800000e-01	6.453777694e-01
7.191200000e-01	6.453957521e-01
7.191600000e-01	6.454137329e-01
7.192000000e-01	6.454317116e-01
7.192400000e-01	6.454496882e-01
7.192800000e-01	6.454676629e-01
7.193200000e-01	6.454856355e-01
7.193600000e-01	6.455036061e-01
7.194000000e-01	6.455215746e-01
7.194400000e-01	6.455395412e-01
7.194800000e-01	6.455575057e-01
7.195200000e-01	6.455754681e-01
7.195600000e-01	6.455934282e-01
7.196000000e-01	6.456113847e-01
7.196400000e-01	6.456293311e-01
7.196800000e-01	6.456472347e-01
7.197200000e-01	6.456649294e-01
7.197600000e-01	6.456815939e-01
7.198000000e-01	6.456932639e-01
7.198000000e-01	6.457085252e-01
7.198400000e-01	6.456816082e-01
7.198400000e-01	6.457547442e-01
7.198800000e-01	6.455686604e-01
7.198800000e-01	6.458997540e-01
7.199200000e-01	6.450862064e-01
7.199200000e-01	6.450927637e-01
7.199200000e-01	6.464106532e-01
7.199200000e-01	6.464171291e-01
7.199600000e-01	6.437824600e-01
7.199600000e-01	6.437890671e-01
7.199600000e-01	6.477406550e-01
7.199600000e-01	6.477471461e-01
7.200000000e-01	6.419809292e-01
7.200000000e-01	6.495527636e-01
7.200400000e-01	6.404513976e-01
7.200400000e-01	6.510760486e-01
7.200800000e-01	6.392334592e-01
7.200800000e-01	6.522842914e-01
7.201200000e-01	6.382059484e-01
7.201200000e-01	6.533018192e-01
7.201600000e-01	6.373013035e-01
7.201600000e-01	6.541964652e-01
7.202000000e-01	6.364837320e-01
7.202000000e-01	6.550040376e-01
7.202400000e-01	6.357320036e-01
7.202400000e-01	6.557457675e-01
7.202800000e-01	6.350323265e-01
7.202800000e-01	6.564354467e-01
7.203200000e-01	6.343751425e-01
7.203200000e-01	6.570826335e-01
7.203600000e-01	6.337535041e-01
7.203600000e-01	6.576942753e-01
7.204000000e-01	6.331621735e-01
7.204000000e-01	6.582756099e-01
7.204400000e-01	6.325970857e-01
7.204400000e-01	6.588307024e-01
7.204800000e-01	6.320550109e-01
7.204800000e-01	6.593627824e-01
7.205200000e-01	6.315333323e-01
7.205200000e-01	6.598744669e-01
7.205600000e-01	6.310298945e-01
7.205600000e-01	6.603679113e-01
7.206000000e-01	6.305428971e-01
7.206000000e-01	6.608449159e-01
7.206400000e-01	6.300708180e-01
7.206400000e-01	6.613070028e-01
7.206800000e-01	6.296123564e-01
7.206800000e-01	6.617554729e-01
7.207200000e-01	6.291663904e-01
7.207200000e-01	6.621914479e-01
7.207600000e-01	6.287319443e-01
7.207600000e-01	6.626159037e-01
7.208000000e-01	6.283081631e-01
7.208000000e-01	6.630296952e-01
7.208400000e-01	6.278942929e-01
7.208400000e-01	6.634335764e-01
7.208800000e-01	6.274896646e-01
7.208800000e-01	6.638282163e-01
7.209200000e-01	6.270936811e-01
7.209200000e-01	6.642142120e-01
7.209600000e-01	6.267058072e-01
7.209600000e-01	6.645920987e-01
7.210000000e-01	6.263255608e-01
7.210000000e-01	6.649623587e-01
7.210400000e-01	6.259525055e-01
7.210400000e-01	6.653254281e-01
7.210800000e-01	6.255862455e-01
7.210800000e-01	6.656817029e-01
7.211200000e-01	6.252264196e-01
7.211200000e-01	6.660315441e-01
7.211600000e-01	6.248726979e-01
7.211600000e-01	6.663752818e-01
7.212000000e-01	6.245247777e-01
7.212000000e-01	6.667132187e-01
7.212400000e-01	6.241823803e-01
7.212400000e-01	6.670456333e-01
7.212800000e-01	6.238452491e-01
7.212800000e-01	6.673727824e-01
7.213200000e-01	6.235131464e-01
7.213200000e-01	6.676949036e-01
7.213600000e-01	6.231858522e-01
7.213600000e-01	6.680122171e-01
7.214000000e-01	6.228631618e-01
7.214000000e-01	6.683249273e-01
7.214400000e-01	6.225448848e-01
7.214400000e-01	6.686332246e-01
7.214800000e-01	6.222308438e-01
7.214800000e-01	6.689372867e-01
7.215200000e-01	6.219208725e-01
7.215200000e-01	6.692372797e-01
7.215600000e-01	6.216148158e-01
7.215600000e-01	6.695333588e-01
7.216000000e-01	6.213125277e-01
7.216000000e-01	6.698256698e-01
7.216400000e-01	6.210138714e-01
7.216400000e-01	6.701143497e-01
7.216800000e-01	6.207187180e-01
7.216800000e-01	6.703995272e-01
7.217200000e-01	6.204269464e-01
7.217200000e-01	6.706813237e-01
7.217600000e-01	6.201384418e-01
7.217600000e-01	6.709598537e-01
7.218000000e-01	6.198530963e-01
7.218000000e-01	6.712352254e-01
7.218400000e-01	6.195708074e-01
7.218400000e-01	6.715075410e-01
7.218800000e-01	6.192914783e-01
7.218800000e-01	6.717768974e-01
7.219200000e-01	6.190150171e-01
7.219200000e-01	6.720433866e-01
7.219600000e-01	6.187413366e-01
7.219600000e-01	6.723070957e-01
7.220000000e-01	6.184703540e-01
7.220000000e-01	6.725681076e-01
7.220400000e-01	6.182019904e-01
7.220400000e-01	6.728265010e-01
7.220800000e-01	6.179361708e-01
7.220800000e-01	6.730823512e-01
7.221200000e-01	6.176728236e-01
7.221200000e-01	6.733357295e-01
7.221600000e-01	6.174118807e-01
7.221600000e-01	6.735867042e-01
7.222000000e-01	6.171532768e-01
7.222000000e-01	6.738353404e-01
7.222400000e-01	6.168969499e-01
7.222400000e-01	6.740817004e-01
7.222800000e-01	6.166428402e-01
7.222800000e-01	6.743258437e-01
7.223200000e-01	6.163908909e-01
7.223200000e-01	6.745678272e-01
7.223600000e-01	6.161410475e-01
7.223600000e-01	6.748077056e-01
7.224000000e-01	6.158932575e-01
7.224000000e-01	6.750455311e-01
7.224400000e-01	6.156474709e-01
7.224400000e-01	6.752813539e-01
7.224800000e-01	6.154036395e-01
7.224800000e-01	6.755152221e-01
7.225200000e-01	6.151617170e-01
7.225200000e-01	6.757471820e-01
7.225600000e-01	6.149216590e-01
7.225600000e-01	6.759772780e-01
7.226000000e-01	6.146834228e-01
7.226000000e-01	6.762055529e-01
7.226400000e-01	6.144469673e-01
7.226400000e-01	6.764320477e-01
7.226800000e-01	6.142122527e-01
7.226800000e-01	6.766568022e-01
7.227200000e-01	6.139792411e-01
7.227200000e-01	6.768798544e-01
7.227600000e-01	6.137478956e-01
7.227600000e-01	6.771012412e-01
7.228000000e-01	6.135181807e-01
7.228000000e-01	6.773209979e-01
7.228400000e-01	6.132900622e-01
7.228400000e-01	6.775391588e-01
7.228800000e-01	6.130635071e-01
7.228800000e-01	6.777557570e-01
7.229200000e-01	6.128384835e-01
7.229200000e-01	6.779708243e-01
7.229600000e-01	6.126149606e-01
7.229600000e-01	6.781843916e-01
7.230000000e-01	6.123929084e-01
7.230000000e-01	6.783964886e-01
7.230400000e-01	6.121722983e-01
7.230400000e-01	6.786071443e-01
7.230800000e-01	6.119531023e-01
7.230800000e-01	6.788163866e-01
7.231200000e-01	6.117352934e-01
7.231200000e-01	6.790242423e-01
7.231600000e-01	6.115188454e-01
7.231600000e-01	6.792307378e-01
7.232000000e-01	6.113037330e-01
7.232000000e-01	6.794358983e-01
7.232400000e-01	6.110899317e-01
7.232400000e-01	6.796397484e-01
7.232800000e-01	6.108774175e-01
7.232800000e-01	6.798423119e-01
7.233200000e-01	6.106661675e-01
7.233200000e-01	6.800436119e-01
7.233600000e-01	6.104561592e-01
7.233600000e-01	6.802436708e-01
7.234000000e-01	6.102473708e-01
7.234000000e-01	6.804425105e-01
7.234400000e-01	6.100397812e-01
7.234400000e-01	6.806401519e-01
7.234800000e-01	6.098333699e-01
7.234800000e-01	6.808366157e-01
7.235200000e-01	6.096281169e-01
7.235200000e-01	6.810319218e-01
7.235600000e-01	6.094240030e-01
7.235600000e-01	6.812260895e-01
7.236000000e-01	6.092210091e-01
7.236000000e-01	6.814191378e-01
7.236400000e-01	6.090191170e-01
7.236400000e-01	6.816110849e-01
7.236800000e-01	6.088183088e-01
7.236800000e-01	6.818019487e-01
7.237200000e-01	6.086185672e-01
7.237200000e-01	6.819917465e-01
7.237600000e-01	6.084198754e-01
7.237600000e-01	6.821804953e-01
7.238000000e-01	6.082222167e-01
7.238000000e-01	6.823682114e-01
7.238400000e-01	6.080255753e-01
7.238400000e-01	6.825549110e-01
7.238800000e-01	6.078299355e-01
7.238800000e-01	6.827406096e-01
7.239200000e-01	6.076352820e-01
7.239200000e-01	6.829253225e-01
7.239600000e-01	6.074416001e-01
7.239600000e-01	6.831090644e-01
7.240000000e-01	6.072488753e-01
7.240000000e-01	6.832918498e-01
7.240400000e-01	6.070570935e-01
7.240400000e-01	6.834736930e-01
7.240800000e-01	6.068662408e-01
7.240800000e-01	6.836546075e-01
7.241200000e-01	6.066763040e-01
7.241200000e-01	6.838346069e-01
7.241600000e-01	6.064872698e-01
7.241600000e-01	6.840137042e-01
7.242000000e-01	6.062991255e-01
7.242000000e-01	6.841919123e-01
7.242400000e-01	6.061118586e-01
7.242400000e-01	6.843692437e-01
7.242800000e-01	6.059254568e-01
7.242800000e-01	6.845457104e-01
7.243200000e-01	6.057399083e-01
7.243200000e-01	6.847213246e-01
7.243600000e-01	6.055552014e-01
7.243600000e-01	6.848960978e-01
7.244000000e-01	6.053713247e-01
7.244000000e-01	6.850700414e-01
7.244400000e-01	6.051882671e-01
7.244400000e-01	6.852431666e-01
7.244800000e-01	6.050060177e-01
7.244800000e-01	6.854154841e-01
7.245200000e-01	6.048245658e-01
7.245200000e-01	6.855870048e-01
7.245600000e-01	6.046439011e-01
7.245600000e-01	6.857577389e-01
7.246000000e-01	6.044640134e-01
7.246000000e-01	6.859276967e-01
7.246400000e-01	6.042848926e-01
7.246400000e-01	6.860968881e-01
7.246800000e-01	6.041065291e-01
7.246800000e-01	6.862653230e-01
7.247200000e-01	6.039289133e-01
7.247200000e-01	6.864330107e-01
7.247600000e-01	6.037520358e-01
7.247600000e-01	6.865999607e-01
7.248000000e-01	6.035758875e-01
7.248000000e-01	6.867661822e-01
7.248400000e-01	6.034004594e-01
7.248400000e-01	6.869316841e-01
7.248800000e-01	6.032257428e-01
7.248800000e-01	6.870964751e-01
7.249200000e-01	6.030517290e-01
7.249200000e-01	6.872605640e-01
7.249600000e-01	6.028784096e-01
7.249600000e-01	6.874239590e-01
7.250000000e-01	6.027057764e-01
7.250000000e-01	6.875866686e-01
7.250400000e-01	6.025338212e-01
7.250400000e-01	6.877487007e-01
7.250800000e-01	6.023625361e-01
7.250800000e-01	6.879100633e-01
7.251200000e-01	6.021919134e-01
7.251200000e-01	6.880707643e-01
7.251600000e-01	6.020219453e-01
7.251600000e-01	6.882308112e-01
7.252000000e-01	6.018526244e-01
7.252000000e-01	6.883902115e-01
7.252400000e-01	6.016839433e-01
7.252400000e-01	6.885489726e-01
7.252800000e-01	6.015158949e-01
7.252800000e-01	6.887071017e-01
7.253200000e-01	6.013484721e-01
7.253200000e-01	6.888646059e-01
